Author,N_articulos
"A., Arcuri, Andrea",7
"M., Zhang, Man",4
"J., Chen, Jinfu",3
"D., Towey, Dave",3
"H., Wang, Huanhuan",3
"C., Sun, Chang'ai",3
"Y., Zhan, Yongzhao",3
"C., Mao, Chengying",3
"K., Cai, Kaiyuan",2
"M., Polo, Macario",2
"J., Offutt, Jeff",2
"N., Laranjeiro, Nuno",2
"Zheng, Tao",2
"M., Büchler, Matthias",2
"Q., Li, Qing",2
"J., Oudinet, Johan",2
"D., Truscan, Dragos",2
"M., Zulkernine, Mohammad",2
"T.Y., Chen, Tsong Yueh",2
"I., Medina-Bulo, Inmaculada",2
"A., Pretschner, Alexander",2
"F., Siavashi, Faezeh",2
"G., Wang, Guan",2
"Shen, Changxiang",2
"H., Liu, Huai",2
"Chen, Xingshu",2
"H., Shahriar, Hossain",2
"J., Vain, Jüri",2
"Pasca, Emil Marian",1
"A., Poth, Alexander",1
"Peluaga Lozada, I.",1
"Popov, A.I.",1
"E., Perez, Eliany",1
"Pfaff, Timo",1
"Pinto, Renato Torres",1
"Pita, P.",1
"Polishchuk, Marina",1
"Prinz, Andreas",1
"S., Salva, Sébastien",1
"E., Rushdy, Ehab",1
"Ruiz-Cortés, Antonio",1
"O., Rrjolli, Olsi",1
"Routaib, Hayat",1
"T., Rooijakkers, Thomas",1
"Rocha, João Vitor Souza",1
"Ribeiro, Márcio",1
"J., Reyes, Jorge",1
"P., Reales Mateo, Pedro",1
"R., Patan, Rizwan",1
"C., Ragkhitwetsagul, Chaiyong",1
"Raga, Miquel Martínez",1
"F., Rafailidis, Fotios",1
"R.S., Miani, Rodrigo S.",1
"R.S., Attia, Riham Salah",1
"R.R., Abdullah, Roni Reza",1
"R.M., Parizi, Reza Meimandi",1
"R.A.P., Queirós, Ricardo Alexandre Peixoto",1
"R., Qian, Ruixiang",1
"Pérez-Arriaga, Juan Carlos",1
"Putera, Danar Gumilang",1
"P., Rattanukul, Pattarakrit",1
"R., Moreira, Rodrigo",1
"H., Moraliyage, Harsha",1
"Morales, A.F.",1
"D., Mitropoulos, Dimitris",1
"T., Mimura, Takao",1
"Meng, Wei",1
"A., Melissen, Arthur",1
"Matei, Oliviu",1
"A., Masood, Adnan",1
"S.A., Omari, Saifullah A.",1
"H., Marques, Henrique",1
"L., Mariani, Leonardo",1
"S., Manickam, Selvakumar",1
"S., Malalgoda, Sanjeewa",1
"C., Makaranond, Chansida",1
"T., Madusanka, Tiroshan",1
"M., MacAs, Mayra",1
"Ma, Shuoyoucheng",1
"M.S., Rahman, Muhammad Sajidur",1
"M.D., Tomić, Mihailo D.",1
"Masood, A.",1
"Park, J.",1
"R., Pareschi, Remo",1
"P., Papadopoulos, Panagiotis",1
"Pan, Zulie",1
"Pan, Zhenyu",1
"L., Pan, Lin",1
"P.S., Karagoz, P. Senkul",1
"P.R.F., Nunes, Paulo R.F.",1
"P.R., Mateo, Pedro Reales",1
"Oliveira, Rui André",1
"Y., Murakami, Yoichi",1
"O.M., Radojević, Olivera M.",1
"E., Nunohiro, Eiji",1
"B., Northern, Bradley",1
"D., Ničković, Dejan",1
"Niu, Xintao",1
"A., Nijsten, Anne",1
"Nie, Changhai",1
"T., Nearunchorn, Tanapol",1
"F., Naït-Abdesselam, Farid",1
"N.D., Wirasbawa, Nicholas Dwiarto",1
"Ocharán-Hernández, Jorge Octavio",1
"A., Zhou, Aojie",1
"Z., Zhang, Zonghua",1
"X., Zhang, Xiangyu",1
"Zhang, Min",1
"C., Zhang, Chong",1
"Zhang, Chao",1
"Ö., Şahin, Ömür",1
"Wiese, Igor",1
"E., Weitenberg, Erieke",1
"M.F., Ibrahim, Mohd Faisal",1
"A., Waworuntu, Alexander",1
"P., Watanakulcharus, Pumipat",1
"A., Waseda, Atsushi",1
"Z., Wang, Ziqi",1
"Wang, Zhenhua",1
"Y., Wang, Yulong",1
"Wang, Yu",1
"Wang, Shaohua",1
"R., Wang, Rui",1
"Q., Wang, Qiaoling",1
"Z., Wei, Zhao",1
"J., Alves-Foss, Jim",1
"R., Alshamrani, Rayan",1
"N., Alshahwan, Nadia",1
"A., Alsarhan, Ayoub",1
"Alonso, Juan C. and Martin-Lopez, Alberto and Segura, Sergio and Bavota, Gabriele and Ruiz-Cort{\'e",1
"A., Almjnoony, Ayman",1
"S., Alimadadi, Saba",1
"R., Akefirad, Rad",1
"Adnan, Muhammad Abdullah",1
"C., Zhou, Chunru",1
"A.N., Senarathne, Amila Nuwan",1
