Author1,Author2,Weight
"A., Arcuri, Andrea","M., Zhang, Man",4
"C., Mao, Chengying","H., Wang, Huanhuan",3
"C., Mao, Chengying","J., Chen, Jinfu",3
"C., Mao, Chengying","Y., Zhan, Yongzhao",3
"H., Wang, Huanhuan","J., Chen, Jinfu",3
"H., Wang, Huanhuan","Y., Zhan, Yongzhao",3
"J., Chen, Jinfu","Y., Zhan, Yongzhao",3
"A., Pretschner, Alexander","J., Oudinet, Johan",2
"A., Pretschner, Alexander","M., Büchler, Matthias",2
"C., Mao, Chengying","D., Towey, Dave",2
"C., Mao, Chengying","Q., Li, Qing",2
"C., Sun, Chang'ai","G., Wang, Guan",2
"C., Sun, Chang'ai","K., Cai, Kaiyuan",2
"C., Sun, Chang'ai","T.Y., Chen, Tsong Yueh",2
"Chen, Xingshu","Shen, Changxiang",2
"Chen, Xingshu","Zheng, Tao",2
"D., Towey, Dave","H., Wang, Huanhuan",2
"D., Towey, Dave","J., Chen, Jinfu",2
"D., Towey, Dave","Y., Zhan, Yongzhao",2
"D., Truscan, Dragos","F., Siavashi, Faezeh",2
"D., Truscan, Dragos","J., Vain, Jüri",2
"F., Siavashi, Faezeh","J., Vain, Jüri",2
"G., Wang, Guan","K., Cai, Kaiyuan",2
"G., Wang, Guan","T.Y., Chen, Tsong Yueh",2
"H., Shahriar, Hossain","M., Zulkernine, Mohammad",2
"H., Wang, Huanhuan","Q., Li, Qing",2
"J., Chen, Jinfu","Q., Li, Qing",2
"J., Offutt, Jeff","M., Polo, Macario",2
"J., Oudinet, Johan","M., Büchler, Matthias",2
"K., Cai, Kaiyuan","T.Y., Chen, Tsong Yueh",2
"Q., Li, Qing","Y., Zhan, Yongzhao",2
"Shen, Changxiang","Zheng, Tao",2
"A., Almjnoony, Ayman","F., Sheldon, Frederick T.",1
"A., Almjnoony, Ayman","J., Alves-Foss, Jim",1
"A., Almjnoony, Ayman","R., Alshamrani, Rayan",1
"A., Alsarhan, Ayoub","A.G., Alshanty, Ahmad Ghazi",1
"A., Alsarhan, Ayoub","A.H., Al-Omari, Ahmad H.",1
"A., Alsarhan, Ayoub","S.A., Omari, Saifullah A.",1
"A., Arcuri, Andrea","Galeotti, Juan",1
"A., Arcuri, Andrea","Ö., Şahin, Ömür",1
"A., Arcuri, Andrea","A., Poth, Alexander",1
"A., Arcuri, Andrea","O., Rrjolli, Olsi",1
"A., Arcuri, Andrea","C., Shen, Chongyang",1
"A., Arcuri, Andrea","G., Bhandari, Guru",1
"A., Arcuri, Andrea","S., Seran, Susruthan",1
"A., Dmitrienko, Alexandra","C., Sendner, Christoph",1
"A., Dmitrienko, Alexandra","K., Zimmermann, Keven",1
"A., Dmitrienko, Alexandra","V., Gadey, Varun",1
"A., Escobar-Molero, Antonio","A.J., Cabrera, Antonio J.",1
"A., Escobar-Molero, Antonio","D.P., Morales, Diego Pedro",1
"A., Escobar-Molero, Antonio","E., Castillo, Encarnacion",1
"A., Escobar-Molero, Antonio","J., Cruz-Cozar, Juan",1
"A., Escobar-Molero, Antonio","L.M., Parrilla, L. M.",1
"A., Estero-Botaro, Antonia","A., García-Domínguez, Antonio",1
"A., Estero-Botaro, Antonia","I., Medina-Bulo, Inmaculada",1
"A., Estero-Botaro, Antonia","J.J., Domínguez-Jiménez, Juan José",1
"A., García-Domínguez, Antonio","I., Medina-Bulo, Inmaculada",1
"A., García-Domínguez, Antonio","J.J., Domínguez-Jiménez, Juan José",1
"A., Ifthikar, Arshardh","H., Moraliyage, Harsha",1
"A., Ifthikar, Arshardh","N., Thennakoon, Nipun",1
"A., Ifthikar, Arshardh","S., Hettiarachchi, Saman",1
"A., Ifthikar, Arshardh","S., Malalgoda, Sanjeewa",1
"A., Ifthikar, Arshardh","T., Madusanka, Tiroshan",1
