id,authors,title,year,venue,doc_type,doi,rq,provenance
1,"S., Salva, Sébastien; J., Sue, Jarod",Security Testing of RESTful APIs with Test Case Mutation,2024,"International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE - Proceedings",Conference paper,10.5220/0012698600003687,RQ1: Mutation operators,database
2,"F., Siavashi, Faezeh; D., Truscan, Dragos; J., Vain, Jüri",Vulnerability assessment of web services with model-based mutation testing,2018,"2018 IEEE International Conference on Software Quality, Reliability and Security (QRS)",Conference paper,10.1109/QRS.2018.00043,RQ1: Mutation operators,database
3,"Y., Huang, Yanyu; C., Fu, Chuan; X., Chen, Xuan; H., Guo, Hao; X., He, Xiaoyu; J., Li, Jingwei; Z., Liu, Zheli",A mutation approach of detecting SQL injection vulnerabilities,2017,Lecture Notes in Computer Science,Conference paper,10.1007/978-3-319-68542-7_15,RQ1: Mutation operators,database
4,"F., Siavashi, Faezeh; D., Truscan, Dragos; J., Vain, Jüri",On mutating UPPAAL timed automata to assess robustness of web services,2016,Proceedings of the 11th International Joint Conference on Software Technologies,Conference paper,10.5220/0005970800150026,RQ1: Mutation operators,database
5,"J., Chen, Jinfu; H., Wang, Huanhuan; D., Towey, Dave; C., Mao, Chengying; R., Huang, Rubing; Y., Zhan, Yongzhao",Worst-input mutation approach to web services vulnerability testing based on SOAP messages,2014,Tsinghua Science and Technology,Article,10.1109/TST.2014.6919819,RQ1: Mutation operators,database
6,"D., Appelt, Dennis; C.D., Nguyen, Cu Duy; L.C., Briand, Lionel C.; N., Alshahwan, Nadia",Automated testing for SQL injection vulnerabilities: An input mutation approach,2014,Proceedings of the 2014 International Symposium on Software Testing and Analysis,Conference paper,10.1145/2610384.2610403,RQ1: Mutation operators,database
7,"J., Chen, Jinfu; Q., Li, Qing; C., Mao, Chengying; D., Towey, Dave; Y., Zhan, Yongzhao; H., Wang, Huanhuan",A Web services vulnerability testing approach based on combinatorial mutation and SOAP message mutation,2014,Service Oriented Computing and Applications,Article,10.1007/s11761-013-0139-1,RQ1: Mutation operators,database
8,"P., Reales Mateo, Pedro; M., Polo, Macario; J., Offutt, Jeff",Mutation at the multi-class and system levels,2013,Science of Computer Programming,Conference paper,10.1016/j.scico.2012.02.005,RQ1: Mutation operators,database
9,"Q., Li, Qing; J., Chen, Jinfu; Y., Zhan, Yongzhao; C., Mao, Chengying; H., Wang, Huanhuan",Combinatorial mutation approach to web service vulnerability testing based on SOAP message mutations,2012,2012 IEEE Ninth International Conference on e-Business Engineering,Conference paper,10.1109/ICEBE.2012.34,RQ1: Mutation operators,database
10,"M., Büchler, Matthias; J., Oudinet, Johan; A., Pretschner, Alexander",SPaCiTE - Web application testing engine,2012,"5th IEEE International Conference on Software Testing, Verification and Validation, ICST 2012",Conference paper,10.1109/ICST.2012.187,RQ1: Mutation operators,database
