Keyword,N_articulos
web services,82
software testing,45
network security,44
mutation testing,43
websites,42
application programming interfaces (api),41
mutation operators,40
testing,29
security,23
cloud computing,23
application programs,21
genetic algorithms,20
authentication,20
mutation analysis,20
open source software,16
cryptography,15
security testing,14
internet of things,14
applications programming interfaces,14
web application,12
quality of service,12
soap messages,12
software design,12
cybersecurity,12
anomaly detection,12
blockchain,12
stateofart,12
access control,11
cyber security,11
machine learning,11
rest api,11
test case generation,10
restful api,10
test case,10
scheduling algorithms,10
security systems,10
api security,10
api,10
denial-of-service attack,10
cloud services,9
internet protocols,9
information services,9
service oriented architecture (soa),9
ws-bpel,9
penetration testing,9
security vulnerabilities,9
evolutionary algorithms,8
vulnerability testing,8
software engineering,8
block-chain,8
decision trees,8
open systems,8
authorization,8
microservices,7
containers,7
scheduling,7
web service composition,7
java programming language,7
http,7
rest,7
uppaal,6
computer software selection and evaluation,6
software reliability,6
computer crime,6
model checking,6
social networking (online),6
simple object access protocols,6
combinatorial testing,6
quality assurance,6
algorithms,6
mutation process,6
security policy,6
quality of web services,6
fault-injection,6
webgoat,6
web service,6
fault detection,6
empirical studies,6
fault detection effectiveness,6
life cycle,6
user interfaces,6
static code analysis,6
vulnerability detection,6
application programming interface security,6
losses,6
machine-learning,6
natural language processing,6
software defined networking,6
program debugging,6
coap,6
mqtt,6
information management,6
genetic algorithm,5
cloud service providers,5
robustness testing,5
mutation,5
computer software,5
cloud-computing,5
energy,5
metamorphic testing,5
business process execution language for web services,5
information systems,5
large language model,5
architecture,5
defects,5
security risks,5
software defined networking (sdn),5
restful services,5
learning systems,5
secure software development,5
soa,5
static analysis,5
learning algorithms,4
multitasking,4
optimization,4
optimization algorithms,4
tasks scheduling,4
automata theory,4
multiobjective optimization,4
virtual machine,4
non dominated sorting genetic algorithm ii (nsga ii),4
test generations,4
specifications,4
mobile security,4
perturbation techniques,4
combinatorial strategies,4
prototype tools,4
security rules,4
tools,4
system testing,4
multi-class,4
multiple class,4
software program,4
system levels,4
electronic commerce,4
abstraction gap,4
computer system firewalls,4
programming theory,4
statistical tests,4
test facilities,4
wavelet analysis,4
world wide web,4
input filters,4
international conferences,4
java server pages,4
open sources,4
private information,4
quality software,4
source coding,4
sql-injection,4
test cases,4
test data,4
web-based applications,4
equipment testing,4
computational complexity,4
cost reduction,4
convergence speed,4
high level languages,4
python,4
random testing,4
distributed applications,4
particle swarm optimization (pso),4
energy efficiency,4
5g mobile communication systems,4
internet of things (iot),4
execution environments,4
service testing,4
software applications,4
data transfer,4
service compositions,4
rna,4
visualization,4
internet,4
phylogeny,4
point mutation,4
sequence alignment,4
software,4
semantic web,4
experimental evaluation,4
software technology,4
optimal solutions,4
risk assessment,4
language model,4
language processing,4
natural languages,4
distributed database systems,4
software vulnerabilities,4
nearest neighbor search,4
software-defined networkings,4
real time systems,4
sensitive data,4
