Source title,N_articulos
arXiv,7
ACM Transactions on Software Engineering and Methodology,4
Lecture Notes in Computer Science,3
"International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE - Proceedings",2
Service Oriented Computing and Applications,2
Proceedings - International Conference on Quality Software,2
Empirical Software Engineering,2
IEEE Transactions on Services Computing,2
CEUR Workshop Proceedings,2
IEEE Access,2
Electronics,2
Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,2
Sensors,2
Tsinghua Science and Technology,1
Science of Computer Programming,1
Advances in Intelligent Systems and Computing,1
Computer Journal,1
Proceedings - IEEE Computer Society's International Computer Software and Applications Conference,1
Information and Software Technology,1
International Journal of Innovative Research and Scientific Studies,1
"Computers, Materials and Continua",1
Military Technical Courier/Vojnotehnicki glasnik,1
Applied Sciences (Switzerland),1
OpenAccess Series in Informatics,1
Energies,1
"International Journal of Parallel, Emergent and Distributed Systems",1
IETE Journal of Research,1
Electronics (Switzerland),1
"International Conference on Advanced Communication Technology, ICACT",1
Journal of Theoretical and Applied Information Technology,1
International Journal of Engineering Trends and Technology,1
"Proceedings - International Conference on Advanced Information Networking and Applications, AINA",1
Information Management and Computer Security,1
SN Computer Science,1
Communications in Computer and Information Science,1
International Conference on Information Networking,1
"Proceedings - IEEE Global Communications Conference, GLOBECOM",1
IEEE/ACM 47th International Conference on Software Engineering,1
2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE),1
"2025 IEEE 16th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)",1
2025 IEEE 36th International Symposium on Software Reliability Engineering Workshops (ISSREW),1
"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",1
World Journal of Advanced Research and Reviews,1
International Journal of Computing and Digital Systems,1
arXiv preprint,1
IEEE/ACM 47th International Conference on Software Engineering (ICSE 2025),1
Proceedings of the 44th International Conference on Software Engineering,1
Future Generation Computer Systems,1
Lecture Notes in Networks and Systems,1
Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,1
Indian Journal of Computer Science and Engineering,1
KSII Transactions on Internet and Information Systems,1
2014 Panhellenic Conference on Informatics,1
Software & Systems Modeling,1
2025 13th International Conference in Software Engineering Research and Innovation (CONISOFT),1
2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE),1
"The 27th International Symposium on Research in Attacks, Intrusions and Defenses",1
Proceedings of the ACM on Software Engineering,1
Proceedings 2025 Workshop on Security and Privacy of Next-Generation Networks,1
"Computers, Materials &amp; Continua",1
"IEEE International Conference on Software Testing, Verification and Validation (ICST)",1
ACM International Workshop Proceedings,1
ACM Conference Proceedings,1
Software,1
Telematika,1
